,profit,fees,balance,position,streak
684631,0.0,0.25,1002.75,2,1.0
684632,0.0,0.0,1002.75,2,1.0
684633,12.5,0.25,1015.0,1,1.0
684634,0.0,0.0,1015.0,1,1.0
684635,12.5,0.25,1027.25,0,1.0
684636,0.0,0.0,1027.25,0,1.0
684637,0.0,0.0,1027.25,0,1.0
684638,0.0,0.25,1027.0,2,1.0
684639,0.0,0.25,1026.75,1,1.0
684640,0.0,0.0,1026.75,1,1.0
684641,0.0,0.0,1026.75,1,1.0
684642,12.5,0.25,1039.0,2,1.0
684643,-12.5,0.25,1026.25,1,1.0
684644,0.0,0.0,1026.25,1,1.0
684645,-12.5,0.25,1013.5,0,1.0
684646,0.0,0.0,1013.5,0,1.0
684647,0.0,0.25,1013.25,1,1.0
684648,0.0,0.0,1013.25,1,1.0
684649,0.0,0.0,1013.25,1,1.0
684650,0.0,0.0,1013.25,1,1.0
684651,0.0,0.0,1013.25,1,1.0
684652,0.0,0.0,1013.25,1,1.0
684653,0.0,0.0,1013.25,1,1.0
684654,0.0,0.0,1013.25,1,1.0
684655,0.0,0.0,1013.25,1,1.0
684656,0.0,0.25,1013.0,2,1.0
684657,0.0,0.0,1013.0,2,1.0
684658,0.0,0.0,1013.0,2,1.0
684659,-12.5,0.25,1000.25,0,1.0
684660,0.0,0.0,1000.25,0,1.0
684661,0.0,0.0,1000.25,0,1.0
684662,0.0,0.25,1000.0,2,1.0
684663,0.0,0.0,1000.0,2,1.0
684664,0.0,0.0,1000.0,2,1.0
684665,0.0,0.0,1000.0,2,1.0
684666,0.0,0.0,1000.0,2,1.0
684667,0.0,0.0,1000.0,2,1.0
684668,0.0,0.0,1000.0,2,1.0
684669,0.0,0.25,999.75,0,1.0
684670,0.0,0.25,999.5,1,1.0
684671,0.0,0.25,999.25,2,1.0
684672,0.0,0.25,999.0,0,1.0
684673,0.0,0.0,999.0,0,1.0
684674,0.0,0.0,999.0,0,1.0
684675,0.0,0.0,999.0,0,1.0
684676,0.0,0.0,999.0,0,1.0
684677,0.0,0.0,999.0,0,1.0
684678,0.0,0.0,999.0,0,1.0
684679,0.0,0.25,998.75,1,1.0
684680,0.0,0.0,998.75,1,1.0
684681,12.5,0.25,1011.0,2,1.0
684682,0.0,0.25,1010.75,0,1.0
684683,0.0,0.25,1010.5,2,1.0
684684,-12.5,0.25,997.75,0,1.0
