progress,open,high,low,close,volume
7.7971233913701745,2.0,0.75,2.0,1.25,56
7.872823618470855,2.0,0.75,2.0,1.25,50
7.948523845571537,2.0,1.25,2.0,1.75,109
8.024224072672219,2.25,1.25,2.0,1.25,210
8.0999242997729,2.0,0.75,2.0,1.25,57
8.17562452687358,2.25,1.0,2.0,1.5,72
8.251324753974263,2.25,1.25,2.25,1.5,26
8.327024981074944,2.5,1.25,2.25,1.5,52
8.402725208175625,2.5,1.25,2.0,1.25,199
8.478425435276307,2.25,1.0,2.25,1.5,120
8.554125662376988,2.25,1.25,2.25,1.75,18
8.629825889477669,2.5,1.25,2.25,1.5,93
8.70552611657835,2.25,1.25,2.0,1.75,103
8.781226343679032,2.5,1.25,2.25,1.75,17
8.856926570779713,2.25,1.5,2.25,2.0,59
8.932626797880394,2.5,1.25,2.25,1.5,67
